id,name
1,A&W® Diet Root Beer
2,A&W® Diet Root Beer
3,A&W® Diet Root Beer
4,A&W® Diet Root Beer
5,A&W® Diet Root Beer
6,A&W® Diet Root Beer
7,A&W® Diet Root Beer Float (large)
8,A&W® Diet Root Beer Float (medium)
9,A&W® Diet Root Beer Float (small)
10,A&W® Diet Root Beer Freeze (large)
11,A&W® Diet Root Beer Freeze (medium)
12,A&W® Diet Root Beer Freeze (small)
13,A&W® Root Beer
14,A&W® Root Beer
15,A&W® Root Beer
16,A&W® Root Beer
17,A&W® Root Beer
18,A&W® Root Beer
19,A&W® Root Beer Float (large)
20,A&W® Root Beer Float (medium)
21,A&W® Root Beer Float (small)
22,A&W® Root Beer Freeze (large)
23,A&W® Root Beer Freeze (medium)
24,A&W® Root Beer Freeze (small)
25,Blue Raspberry Slushee
26,Blue Raspberry Slushee
27,Blue Raspberry Slushee
28,Blue Raspberry Slushee
29,Breaded Onion Rings (Large)
30,Breaded Onion Rings (Regular)
31,Caramel Sundae
32,Cheese Curds (Large)
33,Cheese Curds (Regular)
34,Cheese Dog
35,Cheese Fries
36,Cheeseburger
37,Cherry Limeade
38,Cherry Limeade
39,Cherry Limeade
40,Cherry Limeade
41,Cherry Slushee
42,Cherry Slushee
43,Cherry Slushee
44,Cherry Slushee
45,Chicken Strips- 3 pieces
46,Chili
47,Chili Cheese Fries
48,Chili Fries
49,Chocolate Fudge Blendrrr
50,Chocolate Fudge Blendrrr
51,Chocolate Fudge Blendrrr
52,Chocolate Milkshake (medium)
53,Chocolate Milkshake (small)
54,Chocolate Sundae
55,Coney (Chili) Cheese Dog
56,Coney (Chili) Dog
57,Corn Dog Nuggets® (Regular)
58,Corn Dog Nuggets® (Small/ Kids)
59,Crispy Chicken Sandwich
60,Crunchy Shrimp
61,Extra Burger Patty
62,French Fries (Large)
63,French Fries (Regular)
64,French Fries (Small/ Kids)
65,Grilled Chicken Sandwich
66,Hamburger
67,Hot Dog (plain)
68,Hot Fudge Sundae
