id,name
2002,Senior Soup & Salad (add dressing choice)
2003,Senior Starter™ (add choices)
2004,Slam® Dribblers
2005,Slap Shot Slider (1) (add side)
2006,Slices of Toast w/ margarine
2007,Slices of Toast w/ margarine
2008,Smoked Cheddar Mashed Potatoes
2009,Smothered Cheese Fries
2010,Soccer Shake   –   all flavors
2011,Softball Pancake w/ meat
2012,Southwestern Steak Burrito w/ hash browns
2013,"Spaghetti, Set, Go! (add side)"
2014,Spicy Buffalo Chicken Melt (add choices)
2015,Strawberry Banana Bliss
2016,Strawberry Lemonade
2017,Strawberry Mango Pucker™
2018,Strawberry Topping
2019,Sundae Sundae Sundae!
2020,Sweet & Tangy BBQ Chicken w/ bread & veggies
2021,Sweet Georgia Peach
2022,T  –  Bone Steak & Breaded Shrimp w/ bread (add choices)
2023,T  –  Bone Steak & Eggs (add choices)
2024,T  –  Bone Steak & Shrimp Skewer w/ bread (add choices)
2025,T  –  Bone Steak w/ bread (add choices)
2026,The Grand Slamwich® w/ hash browns
2027,The Super Bird® (add choices)
2028,Three  –  Dip & Chips
2029,Tilapia Ranchero w/ bread
2030,Tomato Slices
2031,Track & Cheese (add side)
2032,Triple Play Nuggets w/ BBQ sauce (add side)
2033,Tumbling Vanilla Yogurt w/ strawberry topping
2034,Turkey Bacon Strips
2035,Turkey Bacon Strips
2036,Turtle Cheesecake
2037,12 Piece Chicken Meal (Mixed)
2038,12 Piece Chicken Only (Mixed)
2039,2 Legs Kids’ Combo
2040,2 Piece Breast and Wing
2041,2 Piece Leg and Thigh
2042,3 Piece Breast and Wing
2043,3 Piece Leg and Thigh
2044,4 Piece Breast and Wing
2045,4 Piece Leg and Thigh
2046,6.5″ Flour Tortillas(12 pack)
2047,6.5″ Flour Tortillas(2 pack)
2048,6.5″ Flour Tortillas(8 pack)
2049,8 Piece Chicken Meal (Mixed)
2050,8 Piece Chicken Only (Mixed)
2051,Avocado Bacon Chicken Tostada (no dressing)
2052,Avocado Salsa (Hot)
2053,Barbecue Chicken Tostada (no dressing)
2054,BBQ Black Beans (Small)
2055,BBQ Black Beans (Small)
2056,BBQ Black Beans(Large)
2057,BRC Burrito
2058,BRC Burrito
2059,BRC Burrito Kids’ Combo
2060,Chicken Avocado Burrito
2061,Chicken Nuggets Kids’ Combo
2062,Chicken Taco Al Carbon
2063,Chicken Tortilla Roll
2064,Chicken Tortilla Soup
2065,Chicken Tortilla Soup (Small)
2066,Chicken Tortilla Soup Small (no tortilla strips)
2067,Chicken Tostada (no dressing)
2068,Chicken Tostada (no shell & no dressing)
2069,Chicken Tostada (no shell & no dressing)
2070,Cole Slaw(Large)
2071,Cole Slaw(Small)
2072,Corn Cobbettes(Large Side-4 cobs)
2073,Corn Cobbettes(Small Side-2 cobs)
2074,El Tradicional
2075,Flame Grilled Chicken Leg
2076,Flame-Grilled Chicken Breast
2077,Flame-Grilled Chicken Breast w/o Skin
2078,Flame-Grilled Chicken Leg
2079,Flame-Grilled Chicken Thigh
2080,Flame-Grilled Chicken Wing
2081,Flame-Grilled Corn(Large)
2082,Flame-Grilled Corn(Small)
2083,Flan
2084,Flan
2085,Fosters Freeze Vanilla (Kid’s Cone)
2086,Fosters Freeze Vanilla (Large Cone)
2087,Fosters Freeze Vanilla (Regular Cone)
2088,"Fosters Freeze Vanilla(Regular, in Cup)"
2089,French Fries(Large)
2090,French Fries(Small)
2091,Fresh Vegetables (no margarine)
2092,Fresh Vegetables (Small w/o margarine)
2093,Fresh Vegetables(Large)
2094,Fresh Vegetables(Small)
2095,Grilled Chicken Salad (no tortilla strips & no dressing)
2096,Grilled Chicken Salad (no tortilla strips & no dressing)
2097,Hand-Made Crunchy Chicken Taco
2098,Hand-Made Guacamole
2099,Hand-Made Guacamole & Chips
2100,Hand-Made Guacamole(Large)
2101,House Salsa (Mild)
2102,Jalapeno Hot Sauce Packet
2103,Loco Side Salad
2104,"Loco Side Salad (no dressing, no tortilla strips) – large"
2105,"Loco Side Salad (no dressing, no tortilla strips) – small"
2106,Loco Side Salad(Large)
2107,Loco Side Salad(Small)
2108,Macaroni & Cheese(Large)
2109,Macaroni & Cheese(Small)
2110,Mashed Potatoes w/Gravy(Large)
2111,Mashed Potatoes w/Gravy(Small)
2112,Mini Pollo Bowl® Kids’ Combo
2113,Mixed Tortillas (12 pack)
2114,Mixed Tortillas (8 pack)
2115,Pico de Gallo Salsa (Medium)
2116,Pinto Beans (Small)
2117,Pinto Beans(Large)
2118,Pinto Beans(Small)
2119,Salsa Roja (Hot)
2120,Skinless Breast Meal
2121,Skinless Breast Meal
2122,Skinless Chicken Breast
2123,Skinless Chicken Breast
2124,Sour Cream
2125,Spanish Rice (Small)
2126,Spanish Rice(Large)
2127,Spanish Rice(Small)
2128,Sweet Corn Cake(Large)
2129,Sweet Corn Cake(Small)
2130,Sweet Potato Fries(Large)
2131,Sweet Potato Fries(Small)
2132,Taquito
2133,The Original POLLO BOWL®
2134,The Original POLLO BOWL®*
2135,The Poblano
2136,The Spicy Chipotle
2137,Two Churros
2138,Two Churros
2139,Ultimate POLLO BOWL®
2140,Aloha Chicken
2141,Asian Chicken Salad
2142,"Babyback Ribs, Full Rack"
2143,"Babyback Ribs, Half Rack"
2144,Baked Potato
2145,Baked Sweet Potato
2146,BBQ Slider Tray (per slider)
2147,Big City Reuben
2148,Big Easy Shrimp and Fish Fry
2149,Black Jack Bacon Burger
2150,Bleu Cheese and Peppercorn Steak Topper
2151,Buttermilk Fried Chicken
2152,"Cajun Firecracker Sticks, Plating"
2153,Calabash BLT
2154,Calabash Chicken Salad
2155,Calabash Chicken Wrap
2156,Calabash Popcorn Shrimp
2157,Calabash Wrap
2158,"Calabash, Wings, and Cheese Fries"
2159,Carolina Peach Cobbler
2160,Certified Angus Beef Ribeye (12 ounces)
2161,Certified Angus Beef Sirloin (10 ounces)
2162,Certified Angus Beef Sirloin (6 ounces)
2163,Certified Angus Beef Tenderloin Tips
2164,Cheese Fries
2165,Cheese Fries
2166,Chicken Pot Pie
2167,Chicken Pot Pie w/o salad
2168,"Chicken Wings, 12"
2169,"Chicken Wings, 8"
2170,Chips and Salsa Tray (per serving)
2171,Cinnamon Apples
2172,Cinnamon Honey Butter (1 ounce)
2173,Cinnamon Honey Butter (1 ounce)
2174,Classic Calabash and Gold Ribs
2175,Classic Calabash Chicken Dinner
2176,Classic Cheeseburger
2177,"Classic FATZ Famous Fish, Blackened"
2178,"Classic FATZ Famous Fish, Fried"
2179,"Classic FATZ Famous Fish, Key West Style"
2180,Classic FATZ Fish and Chips
2181,Classic Lite GrilledShrimp Skewer
2182,Classic Smothered Chopped Steak
2183,Club Sandwich Tray with Hoagie Rolls (per 1/2 sandwich)
2184,Club Sandwich Tray with Texas Toast (per 1/2 sandwich)
2185,Club Sandwich Tray with Tomato Basil Wraps(per 1/2 sandwich)
2186,Club Sandwich Tray with Wheat Bread (per 1/2 sandwich)
2187,Country Fried Steak
2188,Double Fudge Brownie
2189,Edisto Shrimp and Grits
2190,Farmhouse Burger
2191,Farmhouse Cheese Burger
2192,FATZ Club Sandwich
2193,FATZ Cobb Salad
2194,"FATZ Famous Fish Platter, Blackened (1 Fillet)"
2195,"FATZ Famous Fish Platter, Blackened (2 Fillets)"
2196,"FATZ Famous Fish Platter, Fried (1 Fillet)"
2197,"FATZ Famous Fish Platter, Fried (2 Fillets)"
2198,"FATZ Famous Fish Platter, Key West Style (1 Fillet)"
2199,"FATZ Famous Fish Platter, Key West Style (2 Fillets)"
2200,"FATZ Famous Fish Sandwich, Blackened"
2201,"FATZ Famous Fish Sandwich, Fried"
2202,"FATZ Famous Fish Sandwich, Key West Style"
2203,FATZ Onyum Burger
2204,Fiesta Nachos
2205,Fiesta Nachos with Fire Grilled Chipotle Chicken
2206,Fiesta Nachos with Tangy Ground Beef
2207,French Fries
2208,Fresh Grilled Asparagus with Lemon Butter Sauce
2209,Fried Chocolate Cream Cookies (3 cookies)
2210,Fried Green Tomato Slider Tray (per serving)
2211,Fried Green Tomatoes
2212,Fried Shrimp ( 3 pieces)
2213,Garden Blend Rice
2214,Garlic Calamari
2215,Grilled Chicken Club
2216,"Grilled Salmon with Corn, Tomato and Avocado Relish"
2217,Grilled Shrimp and Veggie Harpoons
2218,Grilled Shrimp Skewer
2219,Hickory Burger
2220,House Salad
2221,"Ice Cream, Vanilla (4 fluid ounces)"
2222,Kids Banana Freeze
2223,Kids Calabash Chicken
2224,Kids Cheese Quesadilla
2225,Kids Cheeseburger
2226,Kids Chicken and Cheese Quesadilla
2227,Kids Fish and Chips
2228,Kids Grilled Cheese Sandwich
2229,Kids Grilled Chicken Sandwich
2230,Kids Grilled Salmon with Broccoli
2231,Kids Hamburger
2232,Kids Pasta with Alfredo Sauce
2233,Kids Pasta with Cheese Sauce
2234,Kids Peach Freeze
2235,Kids Popcorn Shrimp
2236,Kids Salad
2237,"Kids Specialty Soda, Cherry Diet Pepsi"
2238,"Kids Specialty Soda, Cherry Pepsi"
2239,"Kids Specialty Soda, Cherry Sprite"
2240,"Kids Specialty Soda, Orange Diet Pepsi"
2241,"Kids Specialty Soda, Orange Pepsi"
2242,"Kids Specialty Soda, Orange Sprite"
2243,Kids Strawberry Freeze
2244,Kids Sugar Free Chocolate Mousse Shooter
2245,Kids Sundae
2246,Killer Shrimp
2247,Killer Shrimp and Ribs
2248,Large Brownie and Cheesecake Combo Tray (per serving)
2249,Large Brownie Tray (per serving)
2250,Large Calabash and Wings Combo Tray (per serving)
2251,Large Fiesta Nachos
2252,Large Fiesta Nachos with Beef
2253,Large Fiesta Nachos with Chicken
2254,Large Salad Tray (per serving)
2255,Large Veggie Tray (per serving)
2256,Large Wing Party Tray (per serving)
2257,Large World Famous Calabash Chicken Tray (per serving)
