id,name,calories,carbs,fat,restaurant_id,category_id
1,A&W® Diet Root Beer,0,0,0,1,1
2,A&W® Diet Root Beer,0,0,0,1,1
3,A&W® Diet Root Beer,0,0,0,1,1
4,A&W® Diet Root Beer,0,0,0,1,1
5,A&W® Diet Root Beer,0,0,0,1,1
6,A&W® Diet Root Beer,0,0,0,1,1
7,A&W® Diet Root Beer Float (large),350,60,10,1,2
8,A&W® Diet Root Beer Float (medium),170,30,5,1,2
9,A&W® Diet Root Beer Float (small),170,30,5,1,2
10,A&W® Diet Root Beer Freeze (large),600,92,18,1,2
11,A&W® Diet Root Beer Freeze (medium),340,53,10,1,2
12,A&W® Diet Root Beer Freeze (small),260,39,8,1,2
13,A&W® Root Beer,160,43,0,1,1
14,A&W® Root Beer,220,58,0,1,1
15,A&W® Root Beer,270,72,0,1,1
16,A&W® Root Beer,440,116,0,1,1
17,A&W® Root Beer,880,232,0,1,1
18,A&W® Root Beer,1760,464,0,1,1
19,A&W® Root Beer Float (large),640,136,10,1,2
20,A&W® Root Beer Float (medium),350,77,5,1,2
21,A&W® Root Beer Float (small),330,70,5,1,2
22,A&W® Root Beer Freeze (large),820,150,18,1,2
23,A&W® Root Beer Freeze (medium),480,89,10,1,2
24,A&W® Root Beer Freeze (small),370,68,8,1,2
25,Blue Raspberry Slushee,270,67,0,1,1
26,Blue Raspberry Slushee,370,91,0,1,1
27,Blue Raspberry Slushee,570,142,0,1,1
28,Blue Raspberry Slushee,740,182,0,1,1
29,Breaded Onion Rings (Large),480,62,27,1,3
30,Breaded Onion Rings (Regular),350,45,16,1,3
31,Caramel Sundae,340,57,9,1,4
32,Cheese Curds (Large),1140,54,80,1,3
33,Cheese Curds (Regular),570,27,40,1,3
34,Cheese Dog,350,26,22,1,5
35,Cheese Fries,390,50,18,1,6
36,Cheeseburger,420,37,21,1,7
37,Cherry Limeade,190,51,0,1,1
38,Cherry Limeade,300,79,0,1,1
39,Cherry Limeade,340,90,0,1,1
40,Cherry Limeade,530,138,0,1,1
41,Cherry Slushee,330,83,0,1,1
42,Cherry Slushee,450,112,0,1,1
43,Cherry Slushee,570,141,0,1,1
44,Cherry Slushee,900,224,0,1,1
45,Chicken Strips- 3 pieces,500,32,29,1,8
46,Chili,190,22,6,1,3
47,Chili Cheese Fries,410,52,17,1,6
48,Chili Fries,370,49,15,1,6
49,Chocolate Fudge Blendrrr,490,68,30,1,4
50,Chocolate Fudge Blendrrr,560,92,32,1,4
51,Chocolate Fudge Blendrrr,1010,152,59,1,4
52,Chocolate Milkshake (medium),880,125,36,1,2
53,Chocolate Milkshake (small),700,100,29,1,2
54,Chocolate Sundae,320,53,8,1,4
55,Coney (Chili) Cheese Dog,380,28,23,1,5
56,Coney (Chili) Dog,340,26,20,1,5
57,Corn Dog Nuggets® (Regular),280,32,13,1,3
58,Corn Dog Nuggets® (Small/ Kids),180,20,8,1,3
59,Crispy Chicken Sandwich,550,52,25,1,8
60,Crunchy Shrimp,340,34,19,1,9
61,Extra Burger Patty,170,2,12,1,3
62,French Fries (Large),430,61,17,1,6
63,French Fries (Regular),310,45,12,1,6
64,French Fries (Small/ Kids),200,28,8,1,6
65,Grilled Chicken Sandwich,400,31,15,1,8
66,Hamburger,380,33,19,1,7
67,Hot Dog (plain),310,23,19,1,5
68,Hot Fudge Sundae,350,54,11,1,4
69,Lemon Slushee,330,82,0,1,1
70,Lemon Slushee,440,110,0,1,1
71,Lemon Slushee,560,139,0,1,1
72,Lemon Slushee,890,221,0,1,1
73,Lime Slushee,280,69,0,1,1
74,Lime Slushee,380,94,0,1,1
75,Lime Slushee,480,119,0,1,1
76,Lime Slushee,770,188,0,1,1
77,Limeade,140,38,0,1,1
78,Limeade,210,55,0,1,1
79,Limeade,250,66,0,1,1
80,Limeade,390,103,0,1,1
81,M&M’s® Polar Swirl®,710,107,25,1,4
82,Orange Float (large),610,137,9,1,2
83,Orange Float (medium),340,81,4,1,2
84,Orange Float (small),320,74,4,1,2
85,Orange Freeze (medium),600,142,10,1,2
86,Orange Freeze (medium),970,223,18,1,2
87,Orange Freeze (small),450,108,8,1,2
88,Oreo® Cookies & Cream Blendrrr,340,56,12,1,4
89,Oreo® Cookies & Cream Blendrrr,430,72,15,1,4
90,Oreo® Cookies & Cream Blendrrr,650,109,21,1,4
91,Oreo® Polar Swirl®,690,107,24,1,4
92,Original Bacon Cheeseburger,530,39,30,1,7
93,Original Bacon Double Cheeseburger,760,45,45,1,7
94,Original Double Cheeseburger,680,44,38,1,7
95,Papa Burger®,690,44,39,1,7
96,Papa Single Burger,470,38,25,1,7
97,Pineapple Banana Smoothee,400,85,6,1,2
98,Pineapple Banana Smoothee,480,104,6,1,2
99,Pineapple Banana Smoothee,750,160,10,1,2
100,Reese’s® Peanut Butter Fudge Blendrrr,700,103,41,1,4
101,Reese’s® Peanut Butter Fudge Blendrrr,710,108,41,1,4
102,Reese’s® Peanut Butter Fudge Blendrrr,1360,203,79,1,4
103,Reese’s® Polar Swirl®,740,97,31,1,4
104,Strawberry Banana Smoothee,390,78,6,1,2
105,Strawberry Banana Smoothee,420,86,6,1,2
106,Strawberry Banana Smoothee,680,137,10,1,2
107,Strawberry Limeade,230,58,0,1,1
108,Strawberry Limeade,290,75,0,1,1
109,Strawberry Limeade,420,105,0,1,1
110,Strawberry Limeade,560,143,0,1,1
111,Strawberry Milkshake (medium),840,113,36,1,2
112,Strawberry Milkshake (small),670,90,29,1,2
113,Strawberry Smoothee,360,70,6,1,2
114,Strawberry Smoothee,370,74,6,1,2
115,Strawberry Smoothee,610,121,10,1,2
116,Strawberry Sundae,300,47,8,1,4
117,Vanilla Cone (large),260,41,7,1,4
118,Vanilla Cone (regular),200,32,5,1,4
119,Vanilla Milkshake (medium,900,121,39,1,2
120,Vanilla Milkshake (small),720,97,31,1,2
121,Watermelon Slushee,270,73,0,1,1
122,Watermelon Slushee,360,99,0,1,1
123,Watermelon Slushee,460,124,0,1,1
124,Watermelon Slushee,720,197,0,1,1
125,Add Fried Shrimp,390,35,21,2,3
126,Add Grilled Shrimp,230,2,17,2,3
127,Appetizer Sampler,2375,169,162,2,10
128,"Apple Walnut Chicken Salad, Half",630,33,43,2,11
129,"Apple Walnut Chicken Salad, Half w/o dressing",350,15,20,2,11
130,"Apple Walnut Chicken Salad, Regular",1030,54,67,2,11
131,"Apple Walnut Chicken Salad, Regular w/o dressing",470,18,22,2,11
132,Applebee’s House Salad,180,12,15,2,11
133,Applebee’s House Salad (without dressing),180,12,15,2,11
134,Applebee’s Limeades,130,59,0,2,1
135,Applebee’s Reuben,1140,49,81,2,12
136,Applebee’s Reuben,630,25,47,2,12
137,Applebee’s Riblets Basket,1115,92,55,2,13
138,Applebee’s Riblets Platter,1705,134,86,2,13
139,Asiago Peppercorn Steak,380,25,14,2,5
140,Asiago Peppercorn Steak w/sides,380,25,14,2,5
141,Bacon Cheddar Cheeseburger,970,51,60,2,7
142,Bacon Cheese Chicken Grill,750,50,33,2,12
143,Baked Potato,430,42,28,2,3
144,Baked Potato Soup,420,27,32,2,14
145,Baked Potato Soup,360,20,28,2,14
146,BBQ Pulled Pork Sliders,1030,90,48,2,7
147,Black Bean Soup,190,21,9,2,14
148,Blackened Tilapia Sandwich,740,54,42,2,12
149,Blue Ribbon Brownie,1310,176,63,2,4
150,"Boneless Wings, Classic Buffalo",1160,66,69,2,10
151,"Boneless Wings, Honey BBQ",1250,16,55,2,10
152,"Boneless Wings, Hot Buffalo",1170,67,69,2,10
153,"Boneless Wings, Southern BBQ",1110,83,55,2,10
154,"Boneless Wings, Sweet & spicy sauce",1150,90,55,2,10
155,Bourbon Street Chicken & Shrimp,750,31,45,2,5
156,Bourbon Street Steak,760,35,44,2,5
157,Breadstick,290,22,19,2,3
158,Broccoli Cheddar Soup,340,19,26,2,14
159,Broccoli Cheddar Soup,280,12,23,2,14
160,Brownie Bite,360,49,17,2,4
161,Bruschetta Chicken,850,56,42,2,8
162,"Bruschetta Chicken Salad, Half",740,45,44,2,11
163,"Bruschetta Chicken Salad, Half w/o dressing",580,40,30,2,11
164,"Bruschetta Chicken Salad, Regular",1110,67,66,2,11
165,"Bruschetta Chicken Salad, Regular w/o dressing",790,56,36,2,11
166,Caesar Salad,220,8,19,2,11
167,Cajun Shrimp Pasta,1170,95,69,2,5
168,"California Shrimp Salad, Half",500,16,42,2,11
169,"California Shrimp Salad, Half w/o dressing",330,14,23,2,11
170,"California Shrimp Salad, Regular",740,21,61,2,11
171,"California Shrimp Salad, Regular w/o dressing",380,16,24,2,11
172,California Turkey Club,970,60,55,2,12
173,Cheese Quesadilla Grande,1130,85,87,2,10
174,Cheeseburger,940,52,58,2,7
175,Cheeseburger Sliders,1270,82,82,2,7
176,Cheeseburger Sliders add bacon,1330,83,87,2,7
177,Cheeseburger Sliders with Applewood Smoked Bacon,1330,83,87,2,7
178,Cheesy Corn,350,28,20,2,3
179,Chicken Broccoli Pasta Alfredo,1350,111,72,2,5
180,Chicken Caesar Salad,310,8,20,2,11
181,Chicken Fajita Rollup,850,63,62,2,12
182,Chicken Fajita Rollup,560,45,41,2,12
183,Chicken Fettuccine Carbonara,1440,107,82,2,5
184,Chicken Fried Chicken,1230,112,59,2,8
185,"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",1260,118,61,2,5
186,Chicken Noodle Soup,160,17,4,2,14
187,Chicken Noodle Soup,110,11,3,2,14
188,Chicken Parmesan Stack,1690,130,95,2,8
189,Chicken Quesadilla Grande,1290,90,90,2,10
190,Chicken Tenders Basket,102,85,60,2,8
191,Chicken Tenders Platter,1320,107,78,2,8
192,Chicken Tortilla Soup,180,18,8,2,14
193,Chicken Tortilla Soup,140,12,7,2,14
194,Chili,310,10,26,2,14
195,Chili,370,16,28,2,14
196,"Chili Cheese Fries, Side",550,59,33,2,6
197,Chili Cheese Nachos,1680,134,107,2,10
198,Chips and Spicy Chipotle Lime Salsa,960,106,53,2,10
199,Chocolate Chip Cookie Sundae,154,210,74,2,4
200,Chocolate Mousse Shooter,450,42,31,2,4
201,Clam Chowder,350,22,24,2,14
202,Clam Chowder,290,16,20,2,14
203,Classic Club House Grill,1150,77,67,2,12
204,"Classic Wings, Classic Buffalo",710,8,49,2,10
205,"Classic Wings, Honey BBQ",790,59,35,2,10
206,"Classic Wings, Hot Buffalo",720,9,49,2,10
207,"Classic Wings, Southern BBQ",660,25,35,2,10
208,"Classic Wings, Sweet & spicy sauce",690,32,35,2,10
209,Cole Slaw,140,15,9,2,3
210,Cowboy Burger,1180,77,70,2,7
211,Crispy Orange Chicken,1520,208,53,2,8
212,Crunchy Onion Rings,1290,181,56,2,10
213,"Crunchy Onion Rings, Side",530,63,28,2,3
214,Decadent Shakes,915,109,46,2,2
215,Double Crunch Shrimp,1280,133,69,2,9
216,Double-Glazed Baby Back Ribs,1345,95,72,2,13
217,Double-Glazed Baby Back Ribs – Half Rack,935,88,49,2,13
218,Fiesta Lime Chicken®,1160,94,67,2,8
219,Fire Pit Bacon Burger,1100,53,73,2,7
220,Florentine Ravioli with Chicken,1300,77,82,2,5
221,French Dip Sliders,840,75,49,2,7
222,French Dip Sliders,590,50,36,2,7
223,French Onion Soup,260,16,14,2,14
224,"Fresh Fruit, Side",90,24,0,2,3
225,Fried Chicken Salad,380,20,27,2,11
226,"Fried Chicken Salad, Half",530,26,42,2,11
227,"Fried Chicken Salad, Half w/o dressing",310,12,23,2,11
228,"Fried Chicken Salad, Regular",980,50,79,2,11
229,"Fried Chicken Salad, Regular w/o dressing",540,23,42,2,11
230,Fried Red Potatoes,150,22,5,2,3
231,"Fries, Side",390,53,18,2,6
232,"Fries, Side",390,53,18,2,15
233,Frozen Lemonades,255,64,0,2,1
234,Garlic Herb Salmon,690,61,29,2,9
235,Garlic Mashed Potatoes,330,38,18,2,3
236,"Grilled Chicken Caesar, Half",410,12,29,2,11
237,"Grilled Chicken Caesar, Half w/o dressing",180,10,5,2,11
238,"Grilled Chicken Caesar, Regular",820,25,57,2,11
239,"Grilled Chicken Caesar, Regular w/o dressing",370,21,10,2,11
240,Grilled Chicken Wonton Tacos,590,58,24,2,10
241,Grilled Dijon Chicken & Portobellos,470,30,16,2,5
242,Grilled Dijon Chicken & Portobellos,470,30,16,2,8
243,Grilled Shrimp & Island Rice,370,56,4,2,9
244,Grilled Shrimp ‘N Spinach Salad,260,20,15,2,11
245,"Grilled Shrimp ‘N Spinach Salad, Half",620,33,44,2,11
246,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",460,12,35,2,11
247,"Grilled Shrimp ‘N Spinach Salad, Regular",1010,63,69,2,11
248,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",680,20,51,2,11
249,"Grilled Steak Caesar, Half",460,13,34,2,11
250,"Grilled Steak Caesar, Half w/o dressing",230,11,10,2,11
251,"Grilled Steak Caesar, Regular",910,25,68,2,11
252,"Grilled Steak Caesar, Regular w/o dressing",460,21,21,2,11
253,Hamburger,790,50,46,2,7
254,Hand-Battered Fish & Chips,1570,108,106,2,9
255,Hand-Battered Fish Sandwich,860,63,58,2,12
256,Honey BBQ Chicken Sandwich,1000,87,42,2,12
257,Hot Fudge Sundae Shooter,350,43,18,2,4
258,House Salad,120,9,8,2,11
259,House Sirloin,310,0,13,2,5
260,House Sirloin,250,0,12,2,5
261,Kids 4oz Sirloin Steak,140,0,7,2,15
262,Kids Apple Juice (6.75 oz),70,17,0,2,15
263,Kids Applesauce side,50,27,0,2,15
264,Kids Celery side with Dressing,220,5,22,2,15
265,Kids Cheese Pizza,550,44,31,2,15
266,Kids Chicken Tenders,240,11,14,2,15
267,Kids Chocolate Milk (1% 8oz),215,36,4,2,15
268,Kids Corn Dog,260,28,14,2,15
269,Kids Fried Shrimp,230,16,14,2,15
270,Kids Grape Juice (6.75 oz),80,20,0,2,15
271,Kids Grilled Cheese (Hawaiian bread),610,51,36,2,15
272,Kids Grilled Cheese (sourdough bread),630,54,36,2,15
273,Kids Grilled Chicken Sandwich,230,23,5,2,15
274,Kids Hot Dog,330,31,18,2,15
275,Kids Hot Fudge Sundae,350,45,18,2,15
276,Kids Kraft Macaroni and Cheese,300,45,9,2,15
277,Kids Milk (1% or 2% 8 oz),130,14,4,2,15
278,Kids Mini Cheeseburger – 1,430,24,30,2,15
279,Kids Mini Cheeseburgers – 2,740,47,46,2,15
280,Kids Mini Hamburger – 1,390,23,27,2,15
281,Kids Mini Hamburger – 2,660,46,40,2,15
282,Kids Orange-Tangerine Juice (6.75 oz),70,17,0,2,15
283,Kids OREO® Cookie Milkshake,780,97,41,2,15
284,Kids OREO® Cookie Sundae,360,43,19,2,15
285,Kids Pasta with Marinara Sauce,360,60,7,2,15
286,Kids Steamed Broccoli Side,30,4,0,2,15
287,Kids Strawberry Sundae,260,31,14,2,15
288,Kids Tropicana Fruit Punch (12 oz),70,19,0,2,15
289,Kids Vanilla Sundae,230,24,14,2,15
290,Kids Vanilla Sundae with Hershey’s Syrup,330,49,14,2,15
291,Loaded Baked Potato,500,42,35,2,3
292,Loaded Mashed Potatoes,550,41,42,2,3
293,Maple Butter Blondie,1100,115,63,2,4
294,Margherita Chicken,800,67,30,2,8
295,Mozzarella Sticks,940,84,48,2,10
296,New England Fish & Chips,1930,121,138,2,9
297,New York Strip,480,1,24,2,5
298,Orange Glazed Salmon,730,98,17,2,9
299,Oriental Chicken Rollup,1160,121,60,2,12
300,Oriental Chicken Salad,420,25,29,2,11
301,"Oriental Chicken Salad, Half",670,42,49,2,11
302,"Oriental Chicken Salad, Half w/o dressing",340,25,20,2,11
303,"Oriental Chicken Salad, Regular",1340,85,98,2,11
304,"Oriental Chicken Salad, Regular w/o dressing",680,50,41,2,11
305,Oriental Grilled Chicken Salad,430,36,21,2,11
306,"Oriental Grilled Chicken Salad, Half",680,55,40,2,11
307,"Oriental Grilled Chicken Salad, Half w/o dressing",340,38,9,2,11
