id,name
1,A&W Restaurants
2,Applebee's
3,Arby's
4,Atlanta Bread Company
5,Bojangle's Famous Chicken 'n Biscuits
6,Buffalo Wild Wings
7,Burger King
8,Captain D's
9,Carl's Jr.
10,Charley's Grilled Subs
11,Chick-fil-A
12,Chili's
13,Chipotle Mexican Grill
14,Church's
15,Corner Bakery Cafe
16,Dairy Queen
17,Denny's
18,El Pollo Loco
19,FATZ
20,Fazoli's
21,Five Guys Burgers and Fries
22,Golden Chick
23,Hardee's
24,IHOP
25,In-N-Out Burger
26,Jack in the Box
27,Jimmy Johns
28,Joe's Crab Shack
29,KFC
30,McDonald's
31,O'Charley's
32,Olive Garden
33,Outback Steakhouse
34,Panda Express
35,Panera Bread
36,Popeye's
37,Quiznos
38,Red Robin Gourmet Burgers
39,Romano's Macaroni Grill
40,Ruby Tuesday
41,Subway
42,Taco Bell
43,Taco Bueno
44,Wendy's
